,N Estimators,Num Leaves,Learning Rate,Num Latent Topics,RBP,DCG,AP,Average Score
41,5,5,0.1,200,0.3816949394547872,4.729692634434325,0.299894037223776,1.8037605370376293
42,20,5,0.01,350,0.37466992348335093,4.7372054845508025,0.2989711531639758,1.8036155203993764
43,20,5,0.001,350,0.38525947479219974,4.715999354580278,0.29810595987383876,1.7997882630821056
44,50,50,0.001,350,0.3871401804173985,4.707458467568414,0.29225256247257947,1.7956170701527974
45,50,20,0.001,350,0.3859962621288326,4.698435002947517,0.29430017661042485,1.7929104805622582
46,5,5,0.1,350,0.36404474872011294,4.69213590918271,0.2935331531836959,1.7832379370288398
47,50,5,0.01,350,0.3650693914743021,4.683926211128601,0.2881420090452465,1.7790458705493835
48,5,50,0.01,350,0.3494915538121535,4.640706306921688,0.2826035411667691,1.7576004673002037
49,5,50,0.01,200,0.36261539748684585,4.617651453882402,0.2734278020874144,1.7512315511522207
50,20,20,0.01,50,0.32563699787792283,4.543345563587664,0.28117652108349594,1.7167196941830276
51,50,20,0.1,350,0.327938258390995,4.528251299922804,0.2686570779158957,1.708282212076565
52,20,5,0.1,350,0.3175682496952266,4.51549900372273,0.26371779094954106,1.6989283481224993
53,50,5,0.1,200,0.3112456671611756,4.489508115667273,0.2590835457898541,1.6866124428727673
54,20,5,0.1,200,0.3119254048005688,4.4781863111384865,0.26118138464663043,1.6837643668618953
55,50,20,0.01,200,0.3098834678021566,4.4805494424048815,0.25814853031631463,1.682860480174451
56,20,20,0.1,350,0.3199006815907554,4.468142849437971,0.25838638032312383,1.68214330378395
57,50,5,0.1,50,0.30439873455622385,4.457162896071586,0.2529104372494972,1.6714906892924357
58,50,5,0.1,350,0.29283648091020315,4.44405534392334,0.2582015303886288,1.6650311184073907
59,20,20,0.01,200,0.316828903340532,4.417070614971563,0.25245644386127314,1.6621186540577897
60,5,50,0.1,350,0.3183361075864199,4.4201319228856715,0.24755068204988848,1.6620062375073266
61,20,50,0.01,350,0.2969348989949453,4.426346549505115,0.24638999448614335,1.6565571476620677
62,50,50,0.01,350,0.29030420740140706,4.411917264765396,0.24333337779314645,1.6485182833199834
63,50,20,0.1,200,0.28897848703591794,4.38788412837144,0.24370957700539034,1.6401907308042494
64,20,50,0.1,350,0.2974259097564923,4.382021778170129,0.23621689667762308,1.6385548615347483
65,50,20,0.01,350,0.2883936856993203,4.379564070386759,0.24458680733422708,1.6375148544734355
66,20,50,0.01,200,0.3097150208468508,4.362813020930011,0.23672046386862228,1.6364161685484948
67,50,50,0.1,350,0.2720392509452186,4.396047652470779,0.2372473677888366,1.635111423734945
68,50,50,0.01,50,0.2914536869220897,4.3494165358212475,0.2425494544225052,1.6278065590552808
69,5,20,0.1,350,0.2869894963424914,4.349799503059815,0.23889935833079404,1.6252294525777005
70,20,20,0.1,200,0.2838055307583361,4.332052483767431,0.23975476610993124,1.6185375935452326
71,50,20,0.01,50,0.28288549858618856,4.318209269699955,0.24145512903379,1.6141832991066447
72,50,50,0.1,50,0.2658094972702735,4.257791363957066,0.2237251784453874,1.5824420132242425
73,50,20,0.1,50,0.23562806004100859,4.170158183348852,0.21657208681621967,1.5407861100686935
74,50,50,0.1,200,0.23475182136084663,4.161430471020579,0.21329969859963674,1.5364939969936877
75,20,20,0.1,50,0.2306350950885509,4.1314411177616925,0.20723196034919616,1.523102724399813
76,20,50,0.1,200,0.22552633184770782,4.098222511728979,0.20541447465169835,1.5097211060761284
77,5,50,0.1,50,0.24398582737026817,4.085021730798319,0.19664554414177485,1.5085510341034538
78,50,50,0.01,200,0.21041487608089812,4.068328131022546,0.2125133836793211,1.4970854635942548
79,5,20,0.1,200,0.22758655883674134,4.04773206678432,0.21368358696626244,1.4963340708624413
80,5,50,0.1,200,0.22997262411709035,4.048814611973712,0.19387820230882002,1.490888479466541
81,20,50,0.1,50,0.22037440039860748,4.042579452250987,0.19837125133379127,1.4871083679944617
